dataset_name,download,documentation
blm,https://web.archive.org/web/20220418025439/https://blmdemocracy.gatech.edu/blm%20final%20data.xls,https://web.archive.org/web/20221128114909/http://blmdemocracy.gatech.edu/
anckar,https://dataverse.harvard.edu/api/access/datafile/3868064?format=original&gbrecs=true,https://dataverse.harvard.edu/file.xhtml?persistentId=doi:10.7910/DVN/7SSSAH/DIZXSI&version=2.0
bmr,https://drive.google.com/uc?export=download&id=1T5Kzs7iu8w26UrTJuyskugcD6Z3uR_tX,https://sites.google.com/site/mkmtwo/data
gwf,http://sites.psu.edu/dictators/wp-content/uploads/sites/12570/2016/05/GWF-Autocratic-Regimes-1.2.zip,http://sites.psu.edu/dictators/
LIED,https://dataverse.harvard.edu/api/access/datafile/11068563,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/WPKNIT
vaporeg,"https://www.va-poreg.de/download/Kailitz,%20Varieties%20of%20Political%20Regimes%20April%202025.rds",https://www.va-poreg.de/home
pacl,https://www.dropbox.com/scl/fi/c7q60zhkj5sqsidjunath/ddrevisited_data_v1.dta?rlkey=xdptpr1wniu2zlm8xi9ny9q1x&e=1&dl=1,https://sites.google.com/site/joseantoniocheibub/datasets/dd
peps,http://www.lehigh.edu/~bm05/democracy/PEPS1pub.dta,http://www.lehigh.edu/~bm05/democracy/Obtain_data.htm
utip,http://utip.lbj.utexas.edu/data/political%20regime%20data%20set%20RV.xls,http://utip.gov.utexas.edu/data/
wahman_teorell_hadenius,https://sites.google.com/site/authoritarianregimedataset/data/ARD_V6.dta?attredirects=0&d=1,https://sites.google.com/site/authoritarianregimedataset/data
polyarchy,https://web.archive.org/web/20161001221658/https://www3.nd.edu/~mcoppedg/crd/poly8500.sav,https://web.archive.org/web/20160309180905/http://www3.nd.edu/~mcoppedg/crd/datacrd.htm
polyarchy_dimensions,https://web.archive.org/web/20161004080450/http://www3.nd.edu/~mcoppedg/crd/DahlDims.sav,https://web.archive.org/web/20160309180905/http://www3.nd.edu/~mcoppedg/crd/datacrd.htm
magaloni,https://fsi-live.s3.us-west-1.amazonaws.com/s3fs-public/res/Data_Set.xls,https://cddrl.fsi.stanford.edu/research/autocracies_of_the_world_dataset
svmdi2020,https://ml-democracy-index.net/downloadfiles/ML%20indices.xlsx,https://ml-democracy-index.net/
svmdi2016,http://www.wiwi.uni-wuerzburg.de/fileadmin/12010400/Data.dta,https://ml-democracy-index.net/
uds2014,https://web.archive.org/web/20191224154817/http://www.unified-democracy-scores.org/files/20140312/z/uds_summary.csv.gz,https://web.archive.org/web/20191224160254/http://www.unified-democracy-scores.org/
uds2011,https://web.archive.org/web/20191224154817/http://www.unified-democracy-scores.org/files/20110104/uds_summary.csv.gz,https://web.archive.org/web/20191224160254/http://www.unified-democracy-scores.org/
uds2010,https://web.archive.org/web/20191224154817/http://www.unified-democracy-scores.org/files/20100726/uds_summary.csv.gz,https://web.archive.org/web/20191224160254/http://www.unified-democracy-scores.org/
ulfelder,https://dataverse.harvard.edu/api/access/datafile/2420018,https://doi.org/10.7910/DVN/M11WFC
PIPE,https://drive.google.com/uc?export=download&id=1_64WVUa1UIYd5dhY0DoxLwa35cU9yKTm,https://sites.google.com/a/nyu.edu/adam-przeworski/home/data
polityIV,http://www.systemicpeace.org/inscr/p4v2018.xls,http://www.systemicpeace.org/inscrdata.html
bti,https://bti-project.org/fileadmin/api/content/en/downloads/data/BTI_2006-2024_Scores.xlsx,https://bti-project.org/en/index/political-transformation
pacl_update,http://www.christianbjoernskov.com/wp-content/uploads/2020/09/Bj%C3%B8rnskov-Rode-integrated-dataset-v3.2.xlsx,http://www.christianbjoernskov.com/bjoernskovrodedata/
REIGN,https://github.com/OEFDataScience/REIGN.github.io/blob/gh-pages/data_sets/regime_list.csv?raw=true,https://oefdatascience.github.io/REIGN.github.io/
vanhanen,https://services.fsd.tuni.fi/catalogue/receipt?id=7e6339d1-7e2c-45e4-800c-e23c102626de&lang=en,https://services.fsd.tuni.fi/catalogue/FSD1289?tab=summary&lang=en&study_language=en
bollen_pmm,,https://www.icpsr.umich.edu/web/ICPSR/studies/2532/publications
eiu,,https://www.eiu.com/topic/democracy-index
fh_2024,https://freedomhouse.org/sites/default/files/2025-02/Country_and_Territory_Ratings_and_Statuses_FIW_1973-2024.xlsx,https://freedomhouse.org/report/freedom-world
fh_electoral,https://freedomhouse.org/sites/default/files/FIW2017_Data.zip,https://freedomhouse.org/report/freedom-world
fh_electoral,https://freedomhouse.org/sites/default/files/List%20of%20Electoral%20Democracies%20FIW%202018.xlsx,https://freedomhouse.org/report/freedom-world
fh_electoral,https://freedomhouse.org/sites/default/files/List_of_Electoral_Democracies_FIW19.xls,https://freedomhouse.org/report/freedom-world
fh_electoral,https://freedomhouse.org/sites/default/files/2020-02/2020_List_of_Electoral_Democracies_FIW_2020.xlsx,https://freedomhouse.org/report/freedom-world
fh_electoral,https://freedomhouse.org/sites/default/files/2022-03/List_of_Electoral_Democracies_FIW22.xlsx,https://freedomhouse.org/report/freedom-world
fh_electoral,https://freedomhouse.org/sites/default/files/2023-02/List_of_Electoral_Democracies_FIW23.xlsx,https://freedomhouse.org/report/freedom-world
fh_electoral,https://freedomhouse.org/sites/default/files/2024-02/List_of_Electoral_Democracies_FIW24.xlsx,https://freedomhouse.org/report/freedom-world
fh_electoral,https://freedomhouse.org/sites/default/files/2025-02/List_of_Electoral_Democracies_FIW24.xlsx,https://freedomhouse.org/report/freedom-world
fh_full_2025,https://freedomhouse.org/sites/default/files/2025-02/All_data_FIW_2013-2024.xlsx,https://freedomhouse.org/report/freedom-world
wgi,https://worldbank.org/content/dam/sites/govindicators/doc/wgidataset_stata.zip,http://www.govindicators.org
polity_annual,http://www.systemicpeace.org/inscr/p5v2018.sav,http://www.systemicpeace.org/inscrdata.html
mainwaring,,https://web.archive.org/web/20120119050029/https://kellogg.nd.edu/scottmainwaring/Political_Regimes.pdf
svolik_regime,https://www.dropbox.com/scl/fi/vs9ya82kugxa3q8limpu9/regime-data.zip?rlkey=vbc6sjfmwkc55e4vr1q2yj841&e=1,https://campuspress.yale.edu/svolik/the-politics-of-authoritarian-rule/
vdem_simple,https://github.com/vdeminstitute/vdemdata,https://v-dem.net/documents/55/codebook.pdf
bnr,http://users.clas.ufl.edu/bernhard/content/data/meister1305.dta,https://web.archive.org/web/20160210002155/http://users.clas.ufl.edu/bernhard/content/data/data.htm
anrr,,https://www.journals.uchicago.edu/doi/suppl/10.1086/700936
